 ---------------------------------------------------------------------------------------------------------------------------------- 
|                                          Memory leak report for:  11/24/2019 20:50:32                                            |
 ---------------------------------------------------------------------------------------------------------------------------------- 


18407 memory leaks found:

Alloc.   Addr       Size       Addr       Size                        BreakOn BreakOn              
Number Reported   Reported    Actual     Actual     Unused    Method  Dealloc Realloc Allocated by 
------ ---------- ---------- ---------- ---------- ---------- -------- ------- ------- --------------------------------------------------- 
178457 0x22B40000 0x00000008 0x22B3FFF0 0x00000028 0x00000000 new         N       N    ??(00000)::??
042576 0x0E0C0000 0x0000004C 0x0E0BFFF0 0x0000006C 0x0000000C new         N       N    ??(00000)::??
040046 0x0E0A0008 0x00000060 0x0E09FFF8 0x00000080 0x00000008 new         N       N    ??(00000)::??
034000 0x0E030008 0x00000168 0x0E02FFF8 0x00000188 0x000000AC new         N       N    ??(00000)::??
025794 0x0DBB0008 0x00000168 0x0DBAFFF8 0x00000188 0x000000A0 new         N       N    ??(00000)::??
047151 0x00F70010 0x000000A8 0x00F70000 0x000000C8 0x00000000 new[]       N       N    ??(00000)::??
016654 0x0DE30018 0x00000020 0x0DE30008 0x00000040 0x0000000C new         N       N    ??(00000)::??
015227 0x0DE20018 0x00000040 0x0DE20008 0x00000060 0x00000000 new         N       N    ??(00000)::??
013156 0x0DC30018 0x0000000C 0x0DC30008 0x0000002C 0x00000000 new         N       N    ??(00000)::??
010259 0x07960018 0x00000168 0x07960008 0x00000188 0x0000009C new         N       N    ??(00000)::??
050485 0x1D7B0028 0x00000070 0x1D7B0018 0x00000090 0x00000018 new         N       N    ??(00000)::??
042014 0x0E090020 0x00000168 0x0E090010 0x00000188 0x0000009C new         N       N    ??(00000)::??
038665 0x0E050028 0x0000000C 0x0E050018 0x0000002C 0x00000000 new         N       N    ??(00000)::??
013810 0x0DE00020 0x0000000C 0x0DE00010 0x0000002C 0x00000000 new         N       N    ??(00000)::??
011352 0x0DD60020 0x00000168 0x0DD60010 0x00000188 0x000000A8 new         N       N    ??(00000)::??
178443 0x2F650030 0x00000020 0x2F650020 0x00000040 0x0000000C new         N       N    ??(00000)::??
036479 0x0E040038 0x00000020 0x0E040028 0x00000040 0x00000008 new         N       N    ??(00000)::??
032507 0x0DF80030 0x00000020 0x0DF80020 0x00000040 0x00000008 new         N       N    ??(00000)::??
027846 0x07970030 0x000000DC 0x07970020 0x000000FC 0x00000034 new         N       N    ??(00000)::??
011243 0x0DBE0030 0x0000004C 0x0DBE0020 0x0000006C 0x0000000C new         N       N    ??(00000)::??
002619 0x07BD0030 0x0000000C 0x07BD0020 0x0000002C 0x00000000 new         N       N    ??(00000)::??
016443 0x0DE10040 0x00000168 0x0DE10030 0x00000188 0x000000A8 new         N       N    ??(00000)::??
166996 0x2F260058 0x0002F6C3 0x2F260048 0x0002F6E3 0x0000001C new         N       N    ??(00000)::??
050693 0x21BE0058 0x000062A0 0x21BE0048 0x000062C0 0x00000000 new[]       N       N    ??(00000)::??
048224 0x0E0F0050 0x00000020 0x0E0F0040 0x00000040 0x0000000C new         N       N    ??(00000)::??
045292 0x1CF80058 0x00000AB0 0x1CF80048 0x00000AD0 0x00000000 new         N       N    ??(00000)::??
